                             component depth     class                                 name     pass    total
            QCD_HT100to200_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal" 19270218 19286149
            QCD_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 18596526 19270218
            QCD_HT100to200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0" 18101635 18596526
            QCD_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0" 18101635 18101635
            QCD_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 18101635 18101635
            QCD_HT100to200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5" 16204263 18101635
            QCD_HT100to200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95" 15826548 16204263
            QCD_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"     1970 15826548
            QCD_HT100to200_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"        2     1970
            QCD_HT100to200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"        0        2
            QCD_HT200to300_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal" 15214055 15246227
            QCD_HT200to300_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 14603437 15214055
            QCD_HT200to300_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0" 13012293 14603437
            QCD_HT200to300_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0" 13012293 13012293
            QCD_HT200to300_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 13012293 13012293
            QCD_HT200to300_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5" 11785311 13012293
            QCD_HT200to300_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95" 11525943 11785311
            QCD_HT200to300_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"     2518 11525943
            QCD_HT200to300_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"        5     2518
            QCD_HT200to300_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"        4        5
            QCD_HT300to500_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal" 16140545 16194932
            QCD_HT300to500_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 15466000 16140545
            QCD_HT300to500_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0" 13098022 15466000
            QCD_HT300to500_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0" 13098022 13098022
            QCD_HT300to500_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 13098022 13098022
            QCD_HT300to500_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5" 12037887 13098022
            QCD_HT300to500_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95" 11758691 12037887
            QCD_HT300to500_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1328452 11758691
            QCD_HT300to500_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"       52  1328452
            QCD_HT300to500_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"       18       52
            QCD_HT500to700_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal" 18988113 19085974
            QCD_HT500to700_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 18192055 18988113
            QCD_HT500to700_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0" 15886694 18192055
            QCD_HT500to700_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0" 15886694 15886694
            QCD_HT500to700_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 15886694 15886694
            QCD_HT500to700_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5" 14982580 15886694
            QCD_HT500to700_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95" 14589402 14982580
            QCD_HT500to700_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400" 14191799 14589402
            QCD_HT500to700_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"     2241 14191799
            QCD_HT500to700_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"      611     2241
           QCD_HT700to1000_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal" 15499126 15601892
           QCD_HT700to1000_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 14857020 15499126
           QCD_HT700to1000_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0" 13392659 14857020
           QCD_HT700to1000_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0" 13392659 13392659
           QCD_HT700to1000_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 13392659 13392659
           QCD_HT700to1000_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5" 12959430 13392659
           QCD_HT700to1000_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95" 12580331 12959430
           QCD_HT700to1000_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400" 12577090 12580331
           QCD_HT700to1000_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    18019 12577090
           QCD_HT700to1000_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"     9410    18019
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  4938683  4978167
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  4736111  4938683
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4359139  4736111
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4359139  4359139
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4359139  4359139
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4314596  4359139
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4175055  4314596
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  4175017  4175055
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    26272  4175017
          QCD_HT1000to1500_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    17466    26272
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  3810751  3845502
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  3655824  3810751
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  3404116  3655824
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  3404116  3404116
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  3404116  3404116
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  3400828  3404116
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  3273690  3400828
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  3273688  3273690
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    63026  3273688
          QCD_HT1500to2000_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    43868    63026
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1940632  1959823
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1859744  1940632
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1745987  1859744
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1745987  1745987
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1745987  1745987
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1745902  1745987
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1662180  1745902
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1662180  1662180
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    73437  1662180
           QCD_HT2000toInf_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    52755    73437
             TTJets_DiLept_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  3391479 17490431
             TTJets_DiLept_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1923307  3391479
             TTJets_DiLept_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1703758  1923307
             TTJets_DiLept_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1703758  1703758
             TTJets_DiLept_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1703758  1703758
             TTJets_DiLept_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1571974  1703758
             TTJets_DiLept_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1499550  1571974
             TTJets_DiLept_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   188083  1499550
             TTJets_DiLept_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    26972   188083
             TTJets_DiLept_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    22884    26972
         TTJets_HT600to800_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  8728208 13831896
         TTJets_HT600to800_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  7265803  8728208
         TTJets_HT600to800_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  6372429  7265803
         TTJets_HT600to800_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  6372429  6372429
         TTJets_HT600to800_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  6372429  6372429
         TTJets_HT600to800_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  6252920  6372429
         TTJets_HT600to800_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  6078629  6252920
         TTJets_HT600to800_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  6078451  6078629
         TTJets_HT600to800_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   413350  6078451
         TTJets_HT600to800_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   330483   413350
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  6631242 10503901
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  5570217  6631242
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4975674  5570217
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4975674  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4975674  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4938793  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4793380  4938793
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  4793356  4793380
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   446750  4793356
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   360383   446750
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1848776  2913601
