component                                                                                                                                                    dataset                                                                                                                                                                                                                                     dasurl
           QCD_HT100to200_madgraphMLM             /QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM             https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
           QCD_HT200to300_madgraphMLM             /QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM             https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
           QCD_HT300to500_madgraphMLM             /QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM             https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
           QCD_HT500to700_madgraphMLM             /QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM             https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
          QCD_HT700to1000_madgraphMLM            /QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
         QCD_HT1000to1500_madgraphMLM           /QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM           https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2%2FMINIAODSIM
         QCD_HT1500to2000_madgraphMLM           /QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3/MINIAODSIM           https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3%2FMINIAODSIM
          QCD_HT2000toInf_madgraphMLM            /QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FQCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
            TTJets_DiLept_madgraphMLM         /TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM         https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1%2FMINIAODSIM
        TTJets_HT600to800_madgraphMLM    /TTJets_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM    https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1%2FMINIAODSIM
