                             component htbin njetbin mhtbin        jet_pt      n   nvar
            QCD_HT200to300_madgraphMLM   400       2    200 316.227766017      2      2
            QCD_HT200to300_madgraphMLM   400       2    200 354.813389234      1      1
            QCD_HT200to300_madgraphMLM   400       2    200 398.107170553      0      0
            QCD_HT200to300_madgraphMLM   400       2    400 316.227766017      0      0
            QCD_HT200to300_madgraphMLM   400       2    400 354.813389234      0      0
            QCD_HT200to300_madgraphMLM   400       3    200 316.227766017      0      0
            QCD_HT200to300_madgraphMLM   400       3    200 354.813389234      0      0
            QCD_HT200to300_madgraphMLM   400       3    200 446.683592151      1      1
            QCD_HT200to300_madgraphMLM   400       3    200 501.187233627      0      0
            QCD_HT200to300_madgraphMLM   400       3    400 446.683592151      0      0
            QCD_HT200to300_madgraphMLM   400       6    200 446.683592151      0      0
            QCD_HT200to300_madgraphMLM   800       2    200 316.227766017      0      0
            QCD_HT200to300_madgraphMLM   800       2    200 354.813389234      0      0
            QCD_HT200to300_madgraphMLM   800       3    200 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   400       2    200 354.813389234      3      3
            QCD_HT300to500_madgraphMLM   400       2    200 398.107170553      1      1
            QCD_HT300to500_madgraphMLM   400       2    200 446.683592151      1      1
            QCD_HT300to500_madgraphMLM   400       2    200 501.187233627      1      1
            QCD_HT300to500_madgraphMLM   400       2    200  562.34132519      0      0
            QCD_HT300to500_madgraphMLM   400       2    400 354.813389234      0      0
            QCD_HT300to500_madgraphMLM   400       2    400 398.107170553      0      0
            QCD_HT300to500_madgraphMLM   400       2    400 446.683592151      1      1
            QCD_HT300to500_madgraphMLM   400       2    400 501.187233627      0      0
            QCD_HT300to500_madgraphMLM   400       2    600 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   400       3    200 158.489319246      1      1
            QCD_HT300to500_madgraphMLM   400       3    200 177.827941004      0      0
            QCD_HT300to500_madgraphMLM   400       3    200 281.838293126      2      2
            QCD_HT300to500_madgraphMLM   400       3    200 316.227766017      1      1
            QCD_HT300to500_madgraphMLM   400       3    200 354.813389234      0      0
            QCD_HT300to500_madgraphMLM   400       3    200 398.107170553      3      3
            QCD_HT300to500_madgraphMLM   400       3    200 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   400       3    200 501.187233627      1      1
            QCD_HT300to500_madgraphMLM   400       3    200  562.34132519      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 158.489319246      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 281.838293126      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 316.227766017      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 398.107170553      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   400       3    400 501.187233627      0      0
            QCD_HT300to500_madgraphMLM   400       3    400  562.34132519      1      1
            QCD_HT300to500_madgraphMLM   400       3    400  630.95734448      0      0
            QCD_HT300to500_madgraphMLM   400       3    600  562.34132519      0      0
            QCD_HT300to500_madgraphMLM   400       6    200 158.489319246      0      0
            QCD_HT300to500_madgraphMLM   400       6    200 251.188643151      1      1
            QCD_HT300to500_madgraphMLM   400       6    200 281.838293126      0      0
            QCD_HT300to500_madgraphMLM   400       6    200 316.227766017      0      0
            QCD_HT300to500_madgraphMLM   400       6    200 398.107170553      0      0
            QCD_HT300to500_madgraphMLM   400       6    200 501.187233627      0      0
            QCD_HT300to500_madgraphMLM   400       6    400 251.188643151      0      0
            QCD_HT300to500_madgraphMLM   400       6    400  562.34132519      0      0
            QCD_HT300to500_madgraphMLM   800       2    200 354.813389234      0      0
            QCD_HT300to500_madgraphMLM   800       2    200 398.107170553      0      0
            QCD_HT300to500_madgraphMLM   800       2    200 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   800       2    200 501.187233627      0      0
            QCD_HT300to500_madgraphMLM   800       2    400 446.683592151      0      0
            QCD_HT300to500_madgraphMLM   800       3    200 158.489319246      0      0
            QCD_HT300to500_madgraphMLM   800       3    200 281.838293126      0      0
            QCD_HT300to500_madgraphMLM   800       3    200 316.227766017      0      0
            QCD_HT300to500_madgraphMLM   800       3    200 398.107170553      0      0
            QCD_HT300to500_madgraphMLM   800       3    200 501.187233627      0      0
            QCD_HT300to500_madgraphMLM   800       3    400  562.34132519      0      0
            QCD_HT300to500_madgraphMLM   800       3    400  630.95734448      1      1
            QCD_HT300to500_madgraphMLM   800       3    400 707.945784384      0      0
            QCD_HT300to500_madgraphMLM   800       3    600  630.95734448      0      0
            QCD_HT300to500_madgraphMLM   800       6    200 251.188643151      0      0
            QCD_HT300to500_madgraphMLM   800       6    400  630.95734448      0      0
            QCD_HT300to500_madgraphMLM  1200       3    400  630.95734448      0      0
            QCD_HT500to700_madgraphMLM   400       2    200 281.838293126     41     41
            QCD_HT500to700_madgraphMLM   400       2    200 316.227766017    101    101
            QCD_HT500to700_madgraphMLM   400       2    200 354.813389234     44     44
            QCD_HT500to700_madgraphMLM   400       2    200 398.107170553      8      8
            QCD_HT500to700_madgraphMLM   400       2    200 446.683592151     12     12
            QCD_HT500to700_madgraphMLM   400       2    200 501.187233627      6      6
            QCD_HT500to700_madgraphMLM   400       2    200  562.34132519      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   400       2    400 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   400       3    200  112.20184543      1      1
            QCD_HT500to700_madgraphMLM   400       3    200 125.892541179      8      8
            QCD_HT500to700_madgraphMLM   400       3    200 141.253754462     11     11
            QCD_HT500to700_madgraphMLM   400       3    200 158.489319246     16     16
            QCD_HT500to700_madgraphMLM   400       3    200 177.827941004     34     34
            QCD_HT500to700_madgraphMLM   400       3    200 199.526231497     33     33
            QCD_HT500to700_madgraphMLM   400       3    200 223.872113857     45     45
            QCD_HT500to700_madgraphMLM   400       3    200 251.188643151     60     60
            QCD_HT500to700_madgraphMLM   400       3    200 281.838293126     34     34
            QCD_HT500to700_madgraphMLM   400       3    200 316.227766017     41     41
            QCD_HT500to700_madgraphMLM   400       3    200 354.813389234     14     14
            QCD_HT500to700_madgraphMLM   400       3    200 398.107170553     13     13
            QCD_HT500to700_madgraphMLM   400       3    200 446.683592151      5      5
            QCD_HT500to700_madgraphMLM   400       3    200 501.187233627      2      2
            QCD_HT500to700_madgraphMLM   400       3    200  562.34132519      0      0
            QCD_HT500to700_madgraphMLM   400       3    400  112.20184543      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 125.892541179      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 141.253754462      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 158.489319246      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 177.827941004      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 199.526231497      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 223.872113857      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 251.188643151      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   400       3    400 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   400       6    200  112.20184543      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 125.892541179      3      3
            QCD_HT500to700_madgraphMLM   400       6    200 141.253754462      6      6
            QCD_HT500to700_madgraphMLM   400       6    200 158.489319246      1      1
            QCD_HT500to700_madgraphMLM   400       6    200 177.827941004      3      3
            QCD_HT500to700_madgraphMLM   400       6    200 199.526231497      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 223.872113857      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 251.188643151      1      1
            QCD_HT500to700_madgraphMLM   400       6    200 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 316.227766017      1      1
            QCD_HT500to700_madgraphMLM   400       6    200 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   400       6    200 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 125.892541179      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 141.253754462      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 158.489319246      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 177.827941004      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 251.188643151      0      0
            QCD_HT500to700_madgraphMLM   400       6    400 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   800       2    200 501.187233627      4      4
            QCD_HT500to700_madgraphMLM   800       2    200  562.34132519      0      0
            QCD_HT500to700_madgraphMLM   800       2    200  630.95734448      3      3
            QCD_HT500to700_madgraphMLM   800       2    200 707.945784384      0      0
            QCD_HT500to700_madgraphMLM   800       2    400 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   800       2    400  630.95734448      1      1
            QCD_HT500to700_madgraphMLM   800       2    400 707.945784384      4      4
            QCD_HT500to700_madgraphMLM   800       2    400 794.328234724      2      2
            QCD_HT500to700_madgraphMLM   800       2    400 891.250938134      0      0
            QCD_HT500to700_madgraphMLM   800       2    600  630.95734448      0      0
            QCD_HT500to700_madgraphMLM   800       2    600 707.945784384      0      0
            QCD_HT500to700_madgraphMLM   800       2    600 794.328234724      1      1
            QCD_HT500to700_madgraphMLM   800       2    600 891.250938134      2      2
            QCD_HT500to700_madgraphMLM   800       2    600        1000.0      0      0
            QCD_HT500to700_madgraphMLM   800       3    200  112.20184543      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 125.892541179      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 141.253754462      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 158.489319246      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 177.827941004      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 199.526231497      0      0
            QCD_HT500to700_madgraphMLM   800       3    200 223.872113857      1      1
            QCD_HT500to700_madgraphMLM   800       3    200 251.188643151      2      2
            QCD_HT500to700_madgraphMLM   800       3    200 281.838293126      3      3
            QCD_HT500to700_madgraphMLM   800       3    200 316.227766017      4      4
            QCD_HT500to700_madgraphMLM   800       3    200 354.813389234      4      4
            QCD_HT500to700_madgraphMLM   800       3    200 398.107170553      2      2
            QCD_HT500to700_madgraphMLM   800       3    200 446.683592151      6      6
            QCD_HT500to700_madgraphMLM   800       3    200 501.187233627      4      4
            QCD_HT500to700_madgraphMLM   800       3    200  562.34132519      5      5
            QCD_HT500to700_madgraphMLM   800       3    200  630.95734448      1      1
            QCD_HT500to700_madgraphMLM   800       3    200 707.945784384      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 223.872113857      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 251.188643151      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   800       3    400 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   800       3    400  562.34132519      2      2
            QCD_HT500to700_madgraphMLM   800       3    400  630.95734448      1      1
            QCD_HT500to700_madgraphMLM   800       3    400 707.945784384      2      2
            QCD_HT500to700_madgraphMLM   800       3    400 794.328234724      1      1
            QCD_HT500to700_madgraphMLM   800       3    400 891.250938134      0      0
            QCD_HT500to700_madgraphMLM   800       3    600  562.34132519      0      0
            QCD_HT500to700_madgraphMLM   800       3    600  630.95734448      0      0
            QCD_HT500to700_madgraphMLM   800       3    600 707.945784384      0      0
            QCD_HT500to700_madgraphMLM   800       3    600 794.328234724      1      1
            QCD_HT500to700_madgraphMLM   800       3    600 891.250938134      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 125.892541179      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 141.253754462      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 158.489319246      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 177.827941004      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 223.872113857      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 251.188643151      1      1
            QCD_HT500to700_madgraphMLM   800       6    200 281.838293126      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 316.227766017      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 354.813389234      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 398.107170553      0      0
            QCD_HT500to700_madgraphMLM   800       6    200 446.683592151      1      1
            QCD_HT500to700_madgraphMLM   800       6    200 501.187233627      0      0
            QCD_HT500to700_madgraphMLM   800       6    200  562.34132519      1      1
            QCD_HT500to700_madgraphMLM   800       6    200  630.95734448      0      0
            QCD_HT500to700_madgraphMLM   800       6    400 251.188643151      0      0
            QCD_HT500to700_madgraphMLM   800       6    400 446.683592151      0      0
            QCD_HT500to700_madgraphMLM   800       6    400  562.34132519      0      0
            QCD_HT500to700_madgraphMLM   800       6    400  630.95734448      0      0
            QCD_HT500to700_madgraphMLM   800       6    400 707.945784384      0      0
            QCD_HT500to700_madgraphMLM   800       6    400 794.328234724      0      0
            QCD_HT500to700_madgraphMLM   800       6    600 794.328234724      0      0
            QCD_HT500to700_madgraphMLM  1200       2    200 501.187233627      0      0
            QCD_HT500to700_madgraphMLM  1200       2    200  630.95734448      0      0
            QCD_HT500to700_madgraphMLM  1200       2    400  630.95734448      0      0
            QCD_HT500to700_madgraphMLM  1200       2    400 707.945784384      0      0
            QCD_HT500to700_madgraphMLM  1200       2    400 794.328234724      0      0
            QCD_HT500to700_madgraphMLM  1200       2    600 794.328234724      0      0
            QCD_HT500to700_madgraphMLM  1200       2    600 891.250938134      0      0
            QCD_HT500to700_madgraphMLM  1200       2    600  1122.0184543      1      1
            QCD_HT500to700_madgraphMLM  1200       2    600 1258.92541179      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 223.872113857      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 251.188643151      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 281.838293126      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 316.227766017      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 354.813389234      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 398.107170553      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 446.683592151      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200 501.187233627      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200  562.34132519      0      0
            QCD_HT500to700_madgraphMLM  1200       3    200  630.95734448      0      0
            QCD_HT500to700_madgraphMLM  1200       3    400 501.187233627      1      1
            QCD_HT500to700_madgraphMLM  1200       3    400  562.34132519      0      0
            QCD_HT500to700_madgraphMLM  1200       3    400  630.95734448      0      0
            QCD_HT500to700_madgraphMLM  1200       3    400 707.945784384      0      0
            QCD_HT500to700_madgraphMLM  1200       3    400 794.328234724      0      0
            QCD_HT500to700_madgraphMLM  1200       3    600 501.187233627      0      0
            QCD_HT500to700_madgraphMLM  1200       3    600 794.328234724      0      0
            QCD_HT500to700_madgraphMLM  1200       3    600 891.250938134      2      2
            QCD_HT500to700_madgraphMLM  1200       3    600        1000.0      1      1
            QCD_HT500to700_madgraphMLM  1200       3    600  1122.0184543      2      2
            QCD_HT500to700_madgraphMLM  1200       3    600 1258.92541179      0      0
            QCD_HT500to700_madgraphMLM  1200       6    200 251.188643151      0      0
            QCD_HT500to700_madgraphMLM  1200       6    200 446.683592151      0      0
            QCD_HT500to700_madgraphMLM  1200       6    200  562.34132519      0      0
            QCD_HT500to700_madgraphMLM  1200       6    400 501.187233627      0      0
            QCD_HT500to700_madgraphMLM  1200       6    400 3981.07170553      1      1
            QCD_HT500to700_madgraphMLM  1200       6    400 4466.83592151      0      0
            QCD_HT500to700_madgraphMLM  1200       6    600 891.250938134      0      0
            QCD_HT500to700_madgraphMLM  1200       6    600        1000.0      0      0
            QCD_HT500to700_madgraphMLM  1200       6    600  1122.0184543      0      0
            QCD_HT500to700_madgraphMLM  1200       6    600 3981.07170553      0      0
           QCD_HT700to1000_madgraphMLM   400       2    200 281.838293126     16     16
           QCD_HT700to1000_madgraphMLM   400       2    200 316.227766017    243    243
           QCD_HT700to1000_madgraphMLM   400       2    200 354.813389234    745    745
           QCD_HT700to1000_madgraphMLM   400       2    200 398.107170553    935    935
           QCD_HT700to1000_madgraphMLM   400       2    200 446.683592151    743    743
